fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,B19037_001E,B19037_002E,B19037_003E,B19037_004E,B19037_005E,B19037_006E,B19037_007E,B19037_008E,B19037_009E,B19037_010E,B19037_011E,B19037_012E,B19037_013E,B19037_014E,B19037_015E,B19037_016E,B19037_017E,B19037_018E,B19037_019E,B19037_020E,B19037_021E,B19037_022E,B19037_023E,B19037_024E,B19037_025E,B19037_026E,B19037_027E,B19037_028E,B19037_029E,B19037_030E,B19037_031E,B19037_032E,B19037_033E,B19037_034E,B19037_035E,B19037_036E,B19037_037E,B19037_038E,B19037_039E,B19037_040E,B19037_041E,B19037_042E,B19037_043E,B19037_044E,B19037_045E,B19037_046E,B19037_047E,B19037_048E,B19037_049E,B19037_050E,B19037_051E,B19037_052E,B19037_053E,B19037_054E,B19037_055E,B19037_056E,B19037_057E,B19037_058E,B19037_059E,B19037_060E,B19037_061E,B19037_062E,B19037_063E,B19037_064E,B19037_065E,B19037_066E,B19037_067E,B19037_068E,B19037_069E
36061014500,120,68,14,46,0,33,21,14,27,37,51,144,224,160,548,997,2504,43,29,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,0,28,0,0,0,12,0,14,13,4,16,0,90,85,409,528,824,12,0,0,32,0,21,21,0,0,0,35,99,79,30,109,386,438,79,40,0,14,0,0,0,0,14,33,0,45,55,45,30,83
36061014602,236,76,0,128,55,182,59,181,178,360,585,466,437,378,362,1033,4716,210,87,0,0,0,0,0,0,9,0,0,46,0,55,0,0,13,2692,64,0,0,70,0,44,12,24,107,252,375,354,233,239,165,753,920,15,0,0,12,0,55,0,73,0,63,130,81,105,85,96,205,894,70,76,0,46,55,83,47,75,71,45,34,31,44,54,101,62
36061018500,221,30,100,143,52,75,63,24,70,158,164,310,243,319,254,505,2731,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,17,0,14,28,0,0,32,0,17,89,76,96,98,116,125,371,849,137,0,16,26,11,23,13,24,0,30,43,54,97,179,96,100,780,44,30,70,89,41,52,18,0,53,39,45,160,48,24,33,34
36119009400,115,78,70,68,62,170,23,55,48,87,112,199,124,140,126,213,1690,82,20,0,0,37,0,0,0,0,0,0,25,0,0,0,0,0,641,0,4,18,9,0,67,6,21,24,53,17,131,30,80,71,110,610,38,31,32,0,20,75,8,34,24,24,39,52,87,30,40,76,357,57,43,20,22,42,28,9,0,0,10,31,16,7,30,15,27
37021000600,123,40,12,101,60,87,31,68,21,83,117,77,51,43,39,44,997,94,49,0,0,26,0,0,0,0,9,0,0,10,0,0,0,0,459,7,22,0,23,43,52,20,34,12,36,83,37,51,0,6,33,285,40,0,12,8,17,20,11,23,0,21,27,19,0,43,33,11,159,27,18,0,44,0,15,0,11,0,26,7,11,0,0,0,0
37021001900,33,131,146,73,73,19,59,92,80,143,184,194,138,36,21,7,1429,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,346,12,42,29,5,7,9,32,12,7,38,60,68,25,0,0,0,546,21,30,15,20,35,10,16,39,29,49,83,80,69,22,21,7,529,0,59,94,48,31,0,11,41,44,56,41,46,44,14,0,0
37063000402,142,52,48,100,127,75,14,50,99,89,112,48,8,18,64,8,1054,138,13,0,31,26,0,22,0,24,0,5,0,0,0,0,17,0,645,104,40,11,60,88,38,0,12,84,70,55,21,8,5,41,8,211,25,7,0,8,39,0,14,14,15,0,43,27,0,13,6,0,60,0,5,6,6,0,15,0,0,0,14,14,0,0,0,0,0
37067001100,286,106,95,56,54,55,24,77,43,66,85,128,18,29,47,29,1198,189,78,35,10,8,26,0,0,13,0,0,0,19,0,0,0,0,435,78,21,48,16,8,22,15,17,34,47,39,51,10,10,10,9,385,110,7,27,15,15,24,9,36,9,10,0,49,8,19,27,20,189,20,43,10,17,5,9,0,11,0,9,46,9,0,0,10,0
37081012509,23,9,65,31,17,11,35,27,33,82,147,184,116,71,72,49,972,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,157,5,0,19,0,0,0,0,0,7,8,9,55,22,13,13,6,418,12,0,8,20,17,0,30,0,5,54,43,52,59,33,49,36,393,6,9,38,11,0,11,5,27,21,20,95,77,31,25,10,7
37119002903,19,40,49,36,76,115,52,47,63,58,88,179,134,99,83,424,1562,65,0,0,37,0,4,0,24,0,0,0,0,0,0,0,0,0,577,8,34,0,21,65,9,17,21,63,0,18,70,21,35,50,145,703,0,6,12,0,7,91,11,26,0,24,56,66,100,42,19,243,217,11,0,0,15,0,15,0,0,0,34,14,43,13,22,14,36
